Fiyat,Ürün Adı,Kullanım Amaç,İşletim Sistemi,Ekran Boyutu,Ekran Çözünürlüğü,Ekran Hızı,İşlemci Markası,İşlemci Serisi,RAM,SSD Var mı,SSD Kapasitesi,GPU Modeli,GPU Var mı,USB 3.0 Var mı,USB 3.0 Adet,USB-C Var mı,USB-C Adet,HDMI Var mı,Pil Gücü,Pil Hücre Sayısı
"37.799,00",Monster Abra A5 V17.4.9 Notebook,Oyun,FreeDOS,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,32 GB,Var,500 GB,Var,NVIDIA GeForce RTX 3060,Var,2,Var,1,Var,62.32 Wh,4 Hücreli
"91.984,98",Lenovo ThinkPad P17 G2 20YU0023TX007 Notebook,İş/Mobil,Windows 10 Pro,17.3 İnç,1920 x 1080 Piksel,,Intel,Intel Core i7,64 GB,Var,500 GB,Var,NVIDIA RTX A2000,Var,2,Var,3,Var,94 Wh,
"43.234,00",HP Victus Gaming 16-r0027nt (7P639EA) Notebook,Oyun,Windows 11 Home,16.1 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i5,16 GB,Var,512 GB,Var,NVIDIA GeForce RTX 4060,Var,3,Var,1,Var,70.0 Wh,4 Hücreli
"36.399,00",Monster Abra A5 V20.3 Notebook,Oyun,FreeDOS,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,16 GB,Var,512 GB,Var,NVIDIA GeForce RTX 4050 140W,Var,2,Var,1,Var,62.32 Wh,4 Hücreli
"43.145,00",Acer Nitro 5 AN515-57 Notebook (NH.QFGEY.022),Oyun,Windows 10 Pro,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,32 GB,Var,512 GB,Var,NVIDIA GeForce RTX 3070,Var,3,Var,1,Var,,4 Hücreli
"45.599,00",HP Victus Gaming 16-r0006nt (7P632EA) Notebook,Oyun,FreeDOS,16.1 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,16 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4070,Var,3,Var,1,Var,70.0 Wh,4 Hücreli
"42.017,00",Acer Nitro 5 AN515-57 Notebook (NH.QFGEY.013),Oyun,Windows 10 Home,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,32 GB,Var,512 GB,Var,NVIDIA GeForce RTX 3070,Var,3,Var,1,Var,,4 Hücreli
"60.399,98",Asus ROG Strix G16 BMG614JVN315711 Notebook,Oyun,Windows 11 Home,16 İnç,1920 x 1200 Piksel,165 Hz,Intel,Intel Core i7,16 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4060,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"113.990,63",Lenovo ThinkPad P15 G2 20YQS0P500 Notebook,İş/Mobil,Windows 11 Home,15.6 İnç,1920 x 1080 Piksel,,Intel,Intel Core i7,32 GB,Var,1 TB,Var,NVIDIA RTX A3000,Var,2,Var,3,Var,94 Wh,
"92.180,45",Dell Precision 7670 XCTOP7670EMEA-VP-1A3 Notebook,İş/Mobil,Windows 10 Pro,16 İnç,1920 x 1200 Piksel,,Intel,Intel Core i7,16 GB,Var,1.25 TB,Var,NVIDIA RTX A2000,Var,2,Var,3,Var,83.0 Wh,6 Hücreli
"34.899,00",Acer Nitro 5 AN515-46-R6Y4 Notebook (NH.QH1EY.006),Oyun,FreeDOS,15.6 İnç,1920 x 1080 Piksel,144 Hz,AMD,AMD Ryzen 7,16 GB,Var,1 TB,Var,NVIDIA GeForce RTX 3070 Ti 150W,Var,3,Var,1,Var,59.0 Wh,4 Hücreli
"45.213,00",Acer Nitro 5 AN515-57 Notebook (NH.QFGEY.021),Oyun,Windows 10 Pro,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,16 GB,Var,2 TB,Var,NVIDIA GeForce RTX 3070,Var,3,Var,1,Var,,4 Hücreli
"44.085,00",Acer Nitro 5 AN515-57 Notebook (NH.QFGEY.012),Oyun,Windows 10 Home,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,16 GB,Var,2 TB,Var,NVIDIA GeForce RTX 3070,Var,3,Var,1,Var,,4 Hücreli
"55.850,00",HP Victus Gaming 16-r0005nt (7P6B2EA) Notebook,Oyun,Windows 11 Home,16.1 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,16 GB,Var,512 GB,Var,NVIDIA GeForce RTX 4070,Var,3,Var,1,Var,70.0 Wh,4 Hücreli
"58.029,00",Asus ROG Strix G16 G614JV-N3158 Notebook,Oyun,FreeDOS,16 İnç,1920 x 1200 Piksel,165 Hz,Intel,Intel Core i7,16 GB,Var,512 GB,Var,NVIDIA GeForce RTX 4060,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"53.349,03",Asus TUF Dash F15 FX517ZR-HN013W Notebook,Oyun,Windows 11 Home,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,16 GB,Var,1 TB,Var,NVIDIA GeForce RTX 3070 105W,Var,2,Var,2,Var,76.0 Wh,4 Hücreli
"94.601,36",Lenovo ThinkPad P17 G2 20YU0022TX01 Notebook,İş/Mobil,Windows 10 Pro,17.3 İnç,1920 x 1080 Piksel,,Intel,Intel Core i7,32 GB,Var,1 TB,Var,NVIDIA RTX A3000,Var,2,Var,3,Var,94 Wh,
"47.375,00",Acer Nitro 5 AN515-58 Notebook (NH.QFSEY.F004),Oyun,FreeDOS,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,32 GB,Var,512 GB,Var,NVIDIA GeForce RTX 3070 Ti,Var,3,Var,1,Var,,4 Hücreli
"47.516,00",Acer Nitro 5 AN515-58 Notebook (NH.QGAEY.F004),Oyun,FreeDOS,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,32 GB,Var,512 GB,Var,NVIDIA GeForce RTX 3070,Var,3,Var,1,Var,,4 Hücreli
"54.999,00",Lenovo Legion 5 Pro 82JD002ATX08 Notebook,Oyun,Windows 10 Pro,16 İnç,2560 x 1600 Piksel,165 Hz,Intel,Intel Core i7,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 3060 130W,Var,4,Var,2,Var,80 Wh,
"54.756,09",Acer Nitro 5 AN515-58-79XA Notebook (NH.QM0EY.00120),Oyun,Windows 11 Pro,15.6 İnç,1920 x 1080 Piksel,165 Hz,Intel,Intel Core i7,16 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4060,Var,3,Var,1,Var,,4 Hücreli
"41.199,00",Monster Tulpar T5 V23.3.1 Notebook,Oyun,Windows 11 Home,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i5,16 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4060 100W,Var,1,Var,2,Var,54.0 Wh,4 Hücreli
"50.321,36",Acer Nitro 5 AN515-58-79XA Notebook (NH.QM0EY.00111),Oyun,Windows 11 Home,15.6 İnç,1920 x 1080 Piksel,165 Hz,Intel,Intel Core i7,16 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4060,Var,3,Var,1,Var,,4 Hücreli
"29.799,00",Casper Excalibur G770.1270-DVJ0X-B Notebook,Oyun,FreeDOS,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,32 GB,Var,500 GB,Var,NVIDIA GeForce RTX 3050,Var,2,Var,1,Var,52.0 Wh,3 Hücreli
"40.648,19",Game Garaj Slayer2 D5 7XL-3060 Notebook,Oyun,FreeDOS,17.3 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i7,16 GB,Var,500 GB,Var,NVIDIA GeForce RTX 3060 140W,Var,2,Var,1,Var,53.5 Wh,3 Hücreli
"32.499,00",Casper Excalibur G870.1245-DXA0X-B Notebook,Oyun,FreeDOS,15.6 İnç,1920 x 1080 Piksel,144 Hz,Intel,Intel Core i5,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4050,Var,3,Var,1,Var,61.0 Wh,4 Hücreli
"35.450,00",Lenovo IdeaPad Gaming 3 82S900EUTX Notebook,Oyun,FreeDOS,15.6 İnç,1920 x 1080 Piksel,165 Hz,Intel,Intel Core i7,16 GB,Var,1 TB,Var,NVIDIA GeForce RTX 3060 105W,Var,2,Var,1,Var,60.0 Wh,
