Fiyat,Ürün Adı,Kullanım Amaç,İşletim Sistemi,Ekran Boyutu,Ekran Çözünürlüğü,Ekran Hızı,İşlemci Markası,İşlemci Serisi,RAM,SSD Var mı,SSD Kapasitesi,GPU Modeli,GPU Var mı,USB 3.0 Var mı,USB 3.0 Adet,USB-C Var mı,USB-C Adet,HDMI Var mı,Pil Gücü,Pil Hücre Sayısı
"134.999,00",Monster Semruk S7 V9.3.3 Notebook,Oyun,Windows 11 Pro,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090 175W,Var,2,Var,3,Var,99.0 Wh,4 Hücreli
"138.999,00",Monster Semruk S7 V9.3.2 Notebook,Oyun,FreeDOS,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090 175W,Var,2,Var,3,Var,99.0 Wh,4 Hücreli
"128.186,26",MSI Vector GP78HX 13VI-273TR Notebook,Oyun,Windows 11 Home,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090 175W,Var,2,Var,3,Var,90.0 Wh,4 Hücreli
"173.279,00",MSI CreatorPro X17HX A13VKS-211TR Notebook,Oyun,Windows 11 Pro,17.3 İnç,3840 x 2160 Piksel,144 Hz,Intel,Intel Core i9,64 GB,Var,4 TB,Var,NVIDIA RTX 3500 Ada Generation 140W,Var,3,Var,2,Var,99.0 Wh,4 Hücreli
"148.499,01",Asus ROG Strix Scar 18 G834JY-N6040W Notebook,Oyun,Windows 11 Home,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090 175W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"106.899,00",Casper Excalibur G911.1390-EX90X-C Notebook,Oyun,FreeDOS,16 İnç,2560 x 1440 Piksel,165 Hz,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,64 Wh,4 Hücreli
"125.999,00",Monster Semruk S7 V9.3.1 Notebook,Oyun,Windows 11 Pro,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4090 175W,Var,2,Var,3,Var,99.0 Wh,4 Hücreli
"120.999,00",Asus ROG Strix Scar 18 G834JY-N6035 Notebook,Oyun,FreeDOS,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090 175W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"124.499,00",HP OMEN 17-ck2000nt (7P6D3EA) Notebook,Oyun,Windows 11 Home,17.3 İnç,2560 x 1440 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,83.0 Wh,6 Hücreli
"95.597,67",Asus ROG Strix Scar 17 G733PZ-LL062A5 Notebook,Oyun,FreeDOS,17.3 İnç,2560 x 1440 Piksel,240 Hz,AMD,AMD Ryzen 9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90 Wh,4 Hücreli
"113.999,00",MSI Creator Z17 HX Studio A13VGT-036TR Notebook,İş/Mobil,Windows 11 Pro,17 İnç,2560 x 1600 Piksel,165 Hz,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070 90W,Var,1,Var,2,Var,90.0 Wh,4 Hücreli
"128.899,00",Monster Semruk S7 V9.3 Notebook,Oyun,FreeDOS,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4090 175W,Var,2,Var,3,Var,99.0 Wh,4 Hücreli
"102.334,02",HP OMEN 17-ck2001nt (7P6D4EA) Notebook,Oyun,FreeDOS,17.3 İnç,2560 x 1440 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,83.0 Wh,6 Hücreli
"91.108,00",MSI Vector GP68HX 13VH-055TR Notebook,Oyun,Windows 11 Home,16 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,3,Var,90.0 Wh,4 Hücreli
"93.968,21",Asus ROG Strix Scar 17 G733PZ-LL062A6 Notebook,Oyun,FreeDOS,17.3 İnç,2560 x 1440 Piksel,240 Hz,AMD,AMD Ryzen 9,64 GB,Var,1.5 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90 Wh,4 Hücreli
"81.389,00",MSI Vector GP78HX 13VG-097TR Notebook,Oyun,Windows 11 Home,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,3,Var,90.0 Wh,4 Hücreli
"97.776,51",Asus ROG Strix Scar 17 G733PZ-ll062A8 Notebook,Oyun,Windows 11 Pro,17.3 İnç,2560 x 1440 Piksel,240 Hz,AMD,AMD Ryzen 9,64 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90 Wh,4 Hücreli
"153.647,50",HP OMEN 17-ck2001nt (7P6D4EA12) Notebook,Oyun,Windows 11 Pro,17.3 İnç,2560 x 1440 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,4 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,83.0 Wh,6 Hücreli
"149.767,49",HP OMEN 17-ck2001nt (7P6D4EA08) Notebook,Oyun,Windows 11 Home,17.3 İnç,2560 x 1440 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,4 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,83.0 Wh,6 Hücreli
"134.999,00",Lenovo Legion Pro 7 82WQ008NTX Notebook,Oyun,Windows 11 Home,16 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4090 175W,Var,4,Var,2,Var,99.9 Wh,
"149.282,50",HP OMEN 17-ck2001nt (7P6D4EA10) Notebook,Oyun,Windows 11 Pro,17.3 İnç,2560 x 1440 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,83.0 Wh,6 Hücreli
"105.199,00",Casper Excalibur G911.1390-EF90X-C Notebook,Oyun,FreeDOS,16 İnç,2560 x 1440 Piksel,165 Hz,Intel,Intel Core i9,64 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,64 Wh,4 Hücreli
"87.499,00",MSI Vector GP68HX 13VH-227XTR Notebook,Oyun,FreeDOS,16 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,3,Var,90.0 Wh,4 Hücreli
"132.956,00",MSI CreatorPro Z17 HX Studio A13VKT-062TR Notebook,İş/Mobil,Windows 11 Pro,17 İnç,2560 x 1600 Piksel,165 Hz,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA Quadro RTX 3000,Var,1,Var,2,Var,90.0 Wh,4 Hücreli
"89.999,00",Asus ROG Strix G18 G814JZ-N6002W Notebook,Oyun,Windows 11 Home,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"105.852,00",Asus ROG Strix SCAR 16 G634JZ-NM032W Notebook,Oyun,Windows 11 Home,16 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"94.999,00",MSI Raider GE78HX 13VG-020US (64GB/2TBSSD) Notebook,Oyun,Windows 11 Home,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,3,Var,99.0 Wh,4 Hücreli
"145.887,50",HP OMEN 17-ck2001nt (7P6D4EA04) Notebook,Oyun,FreeDOS,17.3 İnç,2560 x 1440 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,4 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,83.0 Wh,6 Hücreli
"94.281,00",Asus ROG Strix G18 G814JI-NW610717 Notebook,Oyun,Windows 11 Pro,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"144.999,00",Asus ROG Strix Scar 18 G834JY-N6035W Notebook,Oyun,Windows 11 Home,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,16 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090 175W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"92.497,03",Asus ROG Strix Scar 17 G733PZ-LL062A1 Notebook,Oyun,FreeDOS,17.3 İnç,2560 x 1440 Piksel,240 Hz,AMD,AMD Ryzen 9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90 Wh,4 Hücreli
"193.859,33",Lenovo ThinkPad P16 21D6003NTX09 Notebook,İş/Mobil,Windows 10 Pro,16 İnç,2560 x 1600 Piksel,,Intel,Intel Core i9,128 GB,Var,2 TB,Var,NVIDIA RTX A4500,Var,2,Var,3,Var,94.0 Wh,
"109.825,25",Asus ROG Strix SCAR 16 G634JZ-NM043A4 Notebook,Oyun,FreeDOS,16 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"141.716,50",HP OMEN 17-ck2001nt (7P6D4EA02) Notebook,Oyun,FreeDOS,17.3 İnç,2560 x 1440 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,83.0 Wh,6 Hücreli
"127.999,00",Lenovo Legion Pro 7 82WQ0017TX Notebook,Oyun,Windows 11 Home,16 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,4,Var,2,Var,99.9 Wh,
"90.051,00",Asus ROG Strix G18 G814JI-NW610710 Notebook,Oyun,Windows 11 Home,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"93.499,00",MSI Vector GP78HX 13VH-479XTR Notebook,Oyun,FreeDOS,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,3,Var,90.0 Wh,4 Hücreli
"94.999,00",HP OMEN 17-ck2013nt (892Q9EA ) Notebook,Oyun,FreeDOS,17.3 İnç,2560 x 1440 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,83.0 Wh,6 Hücreli
"97.899,00",Monster Semruk S7 V9.2.2 Notebook,Oyun,FreeDOS,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,3,Var,99.0 Wh,4 Hücreli
"118.155,08",MSI Creator Z16 HX Studio B13VGTO-044TR Notebook,İş/Mobil,Windows 11 Pro,16 İnç,2560 x 1600 Piksel,120 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070 90W,Var,1,Var,1,Var,90.0 Wh,4 Hücreli
"89.999,00",Asus ROG Strix G18 G814JZ-N6024 Notebook,Oyun,FreeDOS,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"101.099,00",HP OMEN 17-ck2003nt (7P651EA) Notebook,Oyun,FreeDOS,17.3 İnç,2560 x 1440 Piksel,165 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,83.0 Wh,6 Hücreli
"92.999,00",Asus ROG Strix SCAR 16 G634JZ-NM044 Notebook,Oyun,FreeDOS,16 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"193.114,39",Lenovo ThinkPad P16 21D6003NTX08 Notebook,İş/Mobil,Windows 10 Pro,16 İnç,3840 x 2400 Piksel,,Intel,Intel Core i9,128 GB,Var,1.5 TB,Var,NVIDIA RTX A4500,Var,2,Var,3,Var,94.0 Wh,
"89.487,00",Asus ROG Strix G18 G814JI-NW610705 Notebook,Oyun,FreeDOS,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"87.999,00",Asus ROG Strix Scar 17 G733PZ-LL023W Notebook,Oyun,Windows 11 Home,17.3 İnç,2560 x 1440 Piksel,240 Hz,AMD,AMD Ryzen 9,16 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90 Wh,4 Hücreli
"106.999,00",Dell Alienware M18 AWM18I9HX80WH Notebook,Oyun,Windows 11 Home,18 İnç,2560 x 1600 Piksel,165 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4080 150W,Var,3,Var,3,Var,97.0 Wh,6 Hücreli
"85.692,00",MSI Raider GE78HX 13VH-038TR Notebook,Oyun,Windows 11 Home,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i7,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,3,Var,99.0 Wh,4 Hücreli
"87.701,00",Asus ROG Strix G18 G814JI-NW610704 Notebook,Oyun,FreeDOS,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"107.916,46",Asus ROG Strix SCAR 16 G634JZ-NM043A5 Notebook,Oyun,FreeDOS,16 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,1.5 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"149.476,49",HP OMEN 17-ck2001nt (7P6D4EA11) Notebook,Oyun,Windows 11 Pro,17.3 İnç,2560 x 1440 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,4 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,83.0 Wh,6 Hücreli
"94.666,56",Asus ROG Strix Scar 17 G733PZ-LL062A7 Notebook,Oyun,Windows 11 Pro,17.3 İnç,2560 x 1440 Piksel,240 Hz,AMD,AMD Ryzen 9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90 Wh,4 Hücreli
"145.693,49",HP OMEN 17-ck2001nt (7P6D4EA07) Notebook,Oyun,Windows 11 Home,17.3 İnç,2560 x 1440 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,4 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,83.0 Wh,6 Hücreli
"112.432,45",Asus ROG Strix SCAR 16 G634JZ-NM043A7 Notebook,Oyun,Windows 11 Pro,16 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"157.120,00",Asus ROG Zephyrus M16 GU604VY-NM040W Notebook,Oyun,Windows 11 Home,16 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090 145W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"145.111,49",HP OMEN 17-ck2001nt (7P6D4EA09) Notebook,Oyun,Windows 11 Pro,17.3 İnç,2560 x 1440 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,83.0 Wh,6 Hücreli
"101.899,00",Casper Excalibur G911.1390-DF90X-C Notebook,Oyun,FreeDOS,16 İnç,2560 x 1440 Piksel,165 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,64 Wh,4 Hücreli
"93.905,00",Asus ROG Strix G18 G814JI-NW610712 Notebook,Oyun,Windows 11 Home,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"114.445,00",MSI Creator Z17 HX Studio A13VGT-038TR Notebook,İş/Mobil,Windows 11 Pro,17 İnç,2560 x 1600 Piksel,165 Hz,Intel,Intel Core i7,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070 90W,Var,1,Var,2,Var,90.0 Wh,4 Hücreli
"192.090,12",Lenovo ThinkPad P16 21D6003NTX07 Notebook,İş/Mobil,Windows 10 Pro,16 İnç,3840 x 2400 Piksel,,Intel,Intel Core i9,128 GB,Var,1 TB,Var,NVIDIA RTX A4500,Var,2,Var,3,Var,94.0 Wh,
"106.695,23",MSI Stealth 17 Studio A13VH-025TR Notebook,Oyun,Windows 11 Home,17.3 İnç,3840 x 2160 Piksel,144 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4080 105W,Var,2,Var,2,Var,99.0 Wh,4 Hücreli
"65.899,00",Casper Excalibur G911.1390-EX70X-C Notebook,Oyun,FreeDOS,16 İnç,2560 x 1440 Piksel,165 Hz,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070,Var,3,Var,1,Var,64 Wh,4 Hücreli
"87.897,26",Asus ROG Strix Scar 17 G733PZ-LL062 Notebook,Oyun,FreeDOS,17.3 İnç,2560 x 1440 Piksel,240 Hz,AMD,AMD Ryzen 9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90 Wh,4 Hücreli
"146.299,00",HP OMEN 17-ck2001nt (7P6D4EA03) Notebook,Oyun,FreeDOS,17.3 İnç,2560 x 1440 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,4 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,83.0 Wh,6 Hücreli
"90.239,00",Asus ROG Strix G18 G814JI-NW610715 Notebook,Oyun,Windows 11 Pro,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"87.983,00",Asus ROG Strix G18 G814JI-NW610709 Notebook,Oyun,Windows 11 Home,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"86.799,00",Monster Semruk S7 V9.1.2 Notebook,Oyun,FreeDOS,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i7,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4060 140W,Var,2,Var,3,Var,99.0 Wh,4 Hücreli
"106.938,78",Asus ROG Strix SCAR 16 G634JZ-NM043A3 Notebook,Oyun,FreeDOS,16 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"105.681,76",Asus ROG Strix SCAR 16 G634JZ-NM043A1 Notebook,Oyun,FreeDOS,16 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"91.461,00",Asus ROG Strix G18 G814JI-NW610706 Notebook,Oyun,FreeDOS,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"85.633,00",Asus ROG Strix G18 G814JI-NW610703 Notebook,Oyun,FreeDOS,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"77.442,00",MSI Creator Z16P B12UGST-038TR Notebook,İş/Mobil,Windows 11 Pro,16 İnç,2560 x 1600 Piksel,165 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 3070 Ti,Var,1,Var,2,,90.0 Wh,4 Hücreli
"103.819,50",Asus ROG Strix SCAR 16 G634JZ-NM043A2 Notebook,Oyun,FreeDOS,16 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1.5 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"90.709,00",Asus ROG Strix G18 G814JI-NW610714 Notebook,Oyun,Windows 11 Pro,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,16 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"88.359,00",Asus ROG Strix G18 G814JI-NW610708 Notebook,Oyun,Windows 11 Home,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,16 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"108.335,46",Asus ROG Strix SCAR 16 G634JZ-NM043A6 Notebook,Oyun,Windows 11 Pro,16 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"55.967,04",Casper Excalibur G911.1370-EXB0X-C Notebook,Oyun,FreeDOS,16 İnç,2560 x 1440 Piksel,165 Hz,Intel,Intel Core i7,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4060,Var,3,Var,1,Var,64 Wh,4 Hücreli
"94.999,00",MSI Creator Z16 HX Studio B13VJTO-054TR Notebook,İş/Mobil,Windows 11 Pro,16 İnç,2560 x 1600 Piksel,120 Hz,Intel,Intel Core i7,32 GB,Var,2 TB,Var,NVIDIA RTX A2000,Var,1,Var,1,Var,90.0 Wh,4 Hücreli
"84.599,00",MSI Raider GE78HX 13VG-020US (32GB/2TBSSD) Notebook,Oyun,Windows 11 Home,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,3,Var,99.0 Wh,4 Hücreli
"91.837,00",Asus ROG Strix G18 G814JI-NW610711 Notebook,Oyun,Windows 11 Home,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"92.401,00",Asus ROG Strix G18 G814JI-NW610716 Notebook,Oyun,Windows 11 Pro,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"87.999,00",Monster Semruk S7 V9.2.1 Notebook,Oyun,Windows 11 Pro,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,3,Var,99.0 Wh,4 Hücreli
"68.999,00",MSI Creator Z17 HX Studio A13VFT-037TR Notebook,İş/Mobil,Windows 11 Pro,17 İnç,2560 x 1600 Piksel,165 Hz,Intel,Intel Core i7,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4060 90W,Var,1,Var,2,Var,90.0 Wh,4 Hücreli
"187.062,04",Lenovo ThinkPad P16 21D6003NTX06 Notebook,İş/Mobil,Windows 10 Pro,16 İnç,3840 x 2400 Piksel,,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA RTX A4500,Var,2,Var,3,Var,94.0 Wh,
"109.000,00",Asus ROG Zephyrus G14 GA402XY-N2023W Notebook,Oyun,Windows 11 Home,14 İnç,2560 x 1600 Piksel,165 Hz,AMD,AMD Ryzen 9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4090 125W,Var,2,Var,2,Var,76.0 Wh,4 Hücreli
"66.199,00",Casper Excalibur G911.1390-EF70X-C Notebook,Oyun,FreeDOS,16 İnç,2560 x 1440 Piksel,165 Hz,Intel,Intel Core i9,64 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4070,Var,3,Var,1,Var,64 Wh,4 Hücreli
"111.825,00",MSI Raider GE68 HX 13VG-059TR Notebook,Oyun,Windows 11 Home,16 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,3,Var,99.0 Wh,4 Hücreli
"70.857,00",HP OMEN Gaming 16-wf0009nt (7Q7W4EA) Notebook,Oyun,Windows 11 Home,16.1 İnç,2560 x 1440 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4070,Var,2,Var,2,Var,83.0 Wh,6 Hücreli
"63.299,00",Casper Excalibur G911.1390-DX70X-C Notebook,Oyun,FreeDOS,16 İnç,2560 x 1440 Piksel,165 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070,Var,3,Var,1,Var,64 Wh,4 Hücreli
"86.103,00",Asus ROG Strix G18 G814JI-NW610702 Notebook,Oyun,FreeDOS,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,16 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070 140W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"179.194,11",Lenovo ThinkPad P16 21D6003NTX Notebook,İş/Mobil,Windows 11 Home,16 İnç,3840 x 2400 Piksel,,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA RTX A4500,Var,2,Var,3,Var,94.0 Wh,
"136.361,10",MSI Vector GP78HX 13VI-446XTR Notebook,Oyun,FreeDOS,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4090,Var,2,Var,3,Var,90.0 Wh,4 Hücreli
