Fiyat,Kullanım Amaç,Ekran Boyutu,Ekran Çözünürlüğü,Ekran Hızı,RAM,SSD Kapasitesi,USB 3.0 Adet,USB-C Adet,HDMI Var mı,Pil Gücü,Pil Hücre Sayısı,FreeDOS,Windows,macOS,AMD,Apple,Intel,AMD Ryzen 5,AMD Ryzen 7,Apple M2 Max,Intel Core i5,Intel Core i7,Intel Core i9,Intel Xeon W
87999.0,1,17.3,3686400.0,240,16,1024.0,2,2,0,90.0,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0
106999.0,1,18.0,4096000.0,165,32,1024.0,3,3,0,97.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
85692.0,1,17.0,4096000.0,240,32,2048.0,2,3,0,99.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
87701.0,1,18.0,4096000.0,240,32,2048.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
107916.46,1,16.0,4096000.0,240,64,1024.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
149476.49,1,17.3,3686400.0,240,32,4096.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
94666.56,1,17.3,3686400.0,240,32,1024.0,2,2,0,90.0,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0
145693.49,1,17.3,3686400.0,240,32,4096.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
112432.45,1,16.0,4096000.0,240,64,1024.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
157120.0,1,16.0,4096000.0,240,32,2048.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
145111.49,1,17.3,3686400.0,240,32,2048.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
101899.0,1,16.0,3686400.0,165,32,1024.0,3,1,0,64.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
93905.0,1,18.0,4096000.0,240,64,2048.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
114445.0,0,17.0,4096000.0,165,32,2048.0,1,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
192090.12,0,16.0,9216000.0,165,128,1024.0,2,3,0,94.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
106695.23,1,17.3,8294400.0,144,32,2048.0,2,2,0,99.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
65899.0,1,16.0,3686400.0,165,64,2048.0,3,1,0,64.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
87897.26,1,17.3,3686400.0,240,32,1024.0,2,2,0,90.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,0
146299.0,1,17.3,3686400.0,240,32,4096.0,3,1,0,83.0,6.0,1,0,0,0,0,1,0,0,0,0,0,1,0
90239.0,1,18.0,4096000.0,240,32,1024.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
87983.0,1,18.0,4096000.0,240,32,1024.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
86799.0,1,17.0,4096000.0,240,64,2048.0,2,3,0,99.0,4.0,1,0,0,0,0,1,0,0,0,0,1,0,0
106938.78,1,16.0,4096000.0,240,64,1024.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
105681.76,1,16.0,4096000.0,240,32,2048.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
91461.0,1,18.0,4096000.0,240,64,2048.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
85633.0,1,18.0,4096000.0,240,32,1024.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
77442.0,0,16.0,4096000.0,165,32,2048.0,1,2,1,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
103819.5,1,16.0,4096000.0,240,32,1024.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
90709.0,1,18.0,4096000.0,240,16,2048.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
88359.0,1,18.0,4096000.0,240,16,2048.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
108335.46,1,16.0,4096000.0,240,32,1024.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
55967.04,1,16.0,3686400.0,165,64,2048.0,3,1,0,64.0,4.0,1,0,0,0,0,1,0,0,0,0,1,0,0
94999.0,0,16.0,4096000.0,120,32,2048.0,1,1,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
84599.0,1,17.0,4096000.0,240,32,2048.0,2,3,0,99.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
91837.0,1,18.0,4096000.0,240,64,1024.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
92401.0,1,18.0,4096000.0,240,32,2048.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
87999.0,1,17.0,4096000.0,240,32,1024.0,2,3,0,99.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
68999.0,0,17.0,4096000.0,165,32,1024.0,1,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
187062.04,0,16.0,9216000.0,165,64,2048.0,2,3,0,94.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
109000.0,1,14.0,4096000.0,165,32,1024.0,2,2,0,76.0,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0
66199.0,1,16.0,3686400.0,165,64,1024.0,3,1,0,64.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
111825.0,1,16.0,4096000.0,240,32,1024.0,2,3,0,99.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
70857.0,1,16.1,3686400.0,240,32,1024.0,2,2,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
63299.0,1,16.0,3686400.0,165,32,2048.0,3,1,0,64.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
86103.0,1,18.0,4096000.0,240,16,2048.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
179194.11,0,16.0,9216000.0,165,32,1024.0,2,3,0,94.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
136361.1,1,17.0,4096000.0,240,32,1024.0,2,3,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
83749.0,1,16.0,4096000.0,240,32,1024.0,2,2,0,97.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
139999.0,1,16.0,3686400.0,165,64,2048.0,3,1,0,64.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
80799.0,1,16.0,4096000.0,240,32,1024.0,2,2,0,97.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
187602.0,0,17.3,2073600.0,60,32,512.0,2,3,0,93.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
165399.0,1,15.6,3686400.0,240,32,2048.0,2,3,0,99.9,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
89999.0,1,17.3,3686400.0,165,32,1024.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
139999.01,0,14.5,5184000.0,120,32,1024.0,1,2,0,76.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
186317.22,0,16.0,9216000.0,165,64,1024.0,2,3,0,94.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
100918.8,1,17.3,2073600.0,360,32,2048.0,3,2,0,99.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
84680.0,1,18.0,2304000.0,480,32,1024.0,3,3,0,97.0,6.0,0,1,0,1,0,0,0,0,0,0,0,0,0
88547.0,1,18.0,4096000.0,240,16,1024.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
84111.0,1,18.0,4096000.0,240,16,1024.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
75368.0,1,17.3,3686400.0,165,64,4096.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0,0
73451.0,1,17.3,3686400.0,165,64,4096.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0,0
66588.0,1,16.0,4096000.0,240,16,1024.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
85899.0,1,17.3,3686400.0,165,32,1024.0,3,1,0,83.0,6.0,1,0,0,0,0,1,0,0,0,0,0,1,0
67472.05,1,17.0,4096000.0,240,32,1024.0,2,3,0,99.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
73281.0,1,17.3,3686400.0,165,64,3072.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0,0
